"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          59,      -7.600459925,      -6.298410495,       -6.63210251,      -5.487141021,      -4.070376686,      -1.488843339,       1.266517709,               0.5,      0.1153084974,      0.4753361736,                 0,                 0,                 0,       0.240563091,      0.0818698382,      0.4822217925,                 0,       4.122299607
          0,           0,          60,      -7.653366909,      -6.351140057,      -6.685288103,      -5.539723055,      -4.122986893,      -1.489578207,         1.2615855,               0.5,      0.1153084971,       0.475335972,                 0,                 0,                 0,      0.2405629838,     0.08186985191,      0.4822215913,                 0,       4.122297871
          0,           0,          61,      -7.706281601,      -6.403876886,      -6.738480838,      -5.592314084,      -4.175601498,      -1.490266678,       1.256830328,               0.5,      0.1153084967,      0.4753357933,                 0,                 0,                 0,      0.2405628888,     0.08186986399,       0.482221413,                 0,       4.122296335
          0,           0,          62,       -7.75920897,      -6.456626074,      -6.791686471,      -5.644919166,      -4.228225449,      -1.490911493,       1.252238887,               0.5,      0.1153084963,       0.475335635,                 0,                 0,                 0,      0.2405628045,     0.08186987464,       0.482221255,                 0,       4.122294976
          0,           0,          63,      -7.812154118,      -6.509392873,       -6.84491092,      -5.697543561,      -4.280863854,      -1.491515257,       1.247799202,               0.5,      0.1153084959,      0.4753354947,                 0,                 0,                 0,      0.2405627298,     0.08186988403,       0.482221115,                 0,       4.122293774
          0,           0,          64,      -7.865122409,      -6.562182751,       -6.89816033,      -5.750192781,       -4.33352203,      -1.492080439,       1.243500476,               0.5,      0.1153084955,      0.4753353704,                 0,                 0,                 0,      0.2405626635,     0.08186989231,       0.482220991,                 0,        4.12229271
          0,           0,          65,      -7.918119443,      -6.615001443,       -6.95144114,       -5.80287265,       -4.38620556,      -1.492609375,       1.239332949,               0.5,      0.1153084951,      0.4753352603,                 0,                 0,                 0,      0.2405626048,     0.08186989961,      0.4822208812,                 0,       4.122291769
          0,           0,          66,      -7.971151172,      -6.667855022,      -7.004760152,      -5.855589357,      -4.438920349,      -1.493104272,       1.235287787,               0.5,      0.1153084948,      0.4753351628,                 0,                 0,                 0,      0.2405625528,     0.08186990605,      0.4822207839,                 0,       4.122290936
          0,           0,          67,      -8.024223942,      -6.720749953,      -7.058124604,      -5.908349523,      -4.491672678,      -1.493567211,       1.231356972,               0.5,      0.1153084944,      0.4753350764,                 0,                 0,                 0,      0.2405625066,     0.08186991173,      0.4822206977,                 0,       4.122290199
          0,           0,          68,      -8.077344534,      -6.773693164,       -7.11154225,      -5.961160267,      -4.544469273,      -1.494000155,       1.227533216,               0.5,      0.1153084941,      0.4753349999,                 0,                 0,                 0,      0.2405624658,     0.08186991674,      0.4822206214,                 0,       4.122289548
          0,           0,          69,      -8.130520275,      -6.826692116,      -7.165021441,      -6.014029277,      -4.597317368,      -1.494404948,       1.223809883,               0.5,      0.1153084938,      0.4753349322,                 0,                 0,                 0,      0.2405624295,     0.08186992115,      0.4822205538,                 0,       4.122288971
          0,           0,          70,      -8.183759122,      -6.879754892,      -7.218571222,      -6.066964888,      -4.650224783,      -1.494783328,        1.22018092,               0.5,      0.1153084935,      0.4753348723,                 0,                 0,                 0,      0.2405623974,     0.08186992505,       0.482220494,                 0,       4.122288462
          0,           0,          71,      -8.237069666,      -6.932890263,      -7.272201425,      -6.119976175,           -4.7032,      -1.495136924,       1.216640793,               0.5,      0.1153084932,      0.4753348192,                 0,                 0,                 0,       0.240562369,     0.08186992848,       0.482220441,                 0,       4.122288011
          0,           0,          72,      -8.290461321,      -6.986107811,      -7.325922785,      -6.173073043,      -4.756252251,       -1.49546727,       1.213184438,               0.5,       0.115308493,      0.4753347722,                 0,                 0,                 0,      0.2405623439,     0.08186993151,      0.4822203942,                 0,       4.122287613
          0,           0,          73,      -8.343944426,      -7.039418008,      -7.379747066,      -6.226266335,      -4.809391623,      -1.495775801,       1.209807215,               0.5,      0.1153084927,      0.4753347307,                 0,                 0,                 0,      0.2405623216,     0.08186993417,      0.4822203527,                 0,       4.122287261
          0,           0,          74,      -8.397530292,      -7.092832355,      -7.433687193,      -6.279567954,      -4.862629158,      -1.496063866,       1.206504862,               0.5,      0.1153084925,      0.4753346939,                 0,                 0,                 0,      0.2405623018,     0.08186993652,       0.482220316,                 0,        4.12228695
          0,           0,          75,       -8.45123136,      -7.146363502,       -7.48775741,      -6.332990999,      -4.915976982,      -1.496332729,        1.20327346,               0.5,      0.1153084923,      0.4753346614,                 0,                 0,                 0,      0.2405622844,     0.08186993859,      0.4822202836,                 0,       4.122286675
          0,           0,          76,      -8.505061383,      -7.200025403,      -7.541973463,      -6.386549909,      -4.969448437,      -1.496583573,       1.200109401,               0.5,      0.1153084921,      0.4753346326,                 0,                 0,                 0,      0.2405622689,     0.08186994041,      0.4822202549,                 0,       4.122286432
          0,           0,          77,      -8.559035707,      -7.253833497,      -7.596352794,      -6.440260644,       -5.02305824,       -1.49681751,       1.197009358,               0.5,       0.115308492,      0.4753346072,                 0,                 0,                 0,      0.2405622552,     0.08186994202,      0.4822202295,                 0,       4.122286218
          0,           0,          78,      -8.613171093,      -7.307804885,       -7.65091477,       -6.49414087,      -5.076822654,      -1.497035578,       1.193970261,               0.5,      0.1153084918,      0.4753345847,                 0,                 0,                 0,      0.2405622431,     0.08186994343,      0.4822202071,                 0,       4.122286028
          0,           0,          79,      -8.667486366,      -7.361958548,      -7.705680956,      -6.548210189,      -5.130759691,      -1.497238751,        1.19098927,               0.5,      0.1153084917,      0.4753345649,                 0,                 0,                 0,      0.2405622325,     0.08186994467,      0.4822201872,                 0,       4.122285861
