"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
56, 1.949624270000000e-01, 4.659981800000000e-02, -9.474903409909283e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.287239726517656e+00, 1.130432589277169e+03
57, 1.794531812000000e-01, 4.554682090000000e-02, -8.771555308778441e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.358961810418548e+00, 1.142280260270178e+03
58, 1.644507858000000e-01, 4.437762880000000e-02, -8.212559774035910e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.428776138733949e+00, 1.153816103368758e+03
59, 1.499789627000000e-01, 4.309448190000000e-02, -7.833181991560900e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.496561299736883e+00, 1.164987434602362e+03
60, 1.360605948000000e-01, 4.170001150000000e-02, -7.673678654571175e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.562200089534655e+00, 1.175545671109023e+03
61, 1.227176899000000e-01, 4.019723160000000e-02, -7.779592557510233e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.625569460330129e+00, 1.184719247278005e+03
62, 1.099713459000000e-01, 3.858952850000000e-02, -8.201972180209462e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.686456542369941e+00, 1.190307000660368e+03
63, 9.784171740000000e-02, 3.688064990000000e-02, -8.997490001898997e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.744222384975830e+00, 1.186909652689670e+03
64, 8.634798370000001e-02, 3.507469240000000e-02, -1.022843054601973e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.796615385452167e+00, 1.163572757300477e+03
65, 7.550831900000000e-02, 3.317608770000000e-02, -1.196251744719348e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.836548793082868e+00, 1.103151255897797e+03
66, 6.533986280000000e-02, 3.118958770000000e-02, -1.427254812916689e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.844356650426095e+00, 9.876647223146191e+02
67, 5.585869360000000e-02, 2.912024850000000e-02, -1.723580599935068e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.783354879080177e+00, 8.150555140317639e+02
68, 4.707980320000000e-02, 2.697341310000000e-02, -2.093322430042749e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.572267727033504e+00, 6.053987880682698e+02
69, 3.901707260000000e-02, 2.475469350000000e-02, -2.544828402734537e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 1.277377398298973e+00, 4.379817369230296e+02
70, 3.168325090000000e-02, 2.246995120000000e-02, -3.086564293132750e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309283782753830e-02, 3.641583172240959e-01, 2.249427910190994e+02
71, 2.508993410000000e-02, 2.012527760000000e-02, -1.455940976821894e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.595624876546674e-04, 9.617906398617522e-01, 7.895871047271436e+02
72, 1.924754780000000e-02, 1.772697280000000e-02, 1.462993562740077e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.595624876546674e-04, 1.191993918595540e+00, 1.168287487408493e+03
73, 1.416533000000000e-02, 1.528152440000000e-02, 1.724953836333915e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.595624876546674e-04, 1.311632645883769e+00, 1.633543259567471e+03
74, 9.851316600000000e-03, 1.279558500000000e-02, 3.283313204008806e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.595624876546674e-04, 1.412898126403469e+00, 2.524931032805087e+03
75, 6.312329000000000e-03, 1.027594930000000e-02, 4.823212232122341e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.595624876546674e-04, 1.605881589233659e+00, 4.448272923487377e+03
76, 3.553963100000000e-03, 7.729531100000000e-03, 6.345115209260507e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.595624876546674e-04, 2.047396550872629e+00, 8.228071820545121e+03
77, 1.580580500000000e-03, 5.163339100000000e-03, 7.848285371947238e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.595624876546674e-04, 2.876131231925691e+00, 1.463584624575878e+04
78, 3.953014000000000e-04, 2.584453300000000e-03, 9.331142039871884e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.595624876546674e-04, 4.028460900904926e+00, 2.398670950712122e+04
79, 0.000000000000000e+00, 1.300000000000000e-05, 1.079204258450722e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.650333664725591e-04, 5.000000000000000e+00, 3.664594072906411e+04
80, 3.953014000000000e-04, -2.584453300000000e-03, 9.561989569925401e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.650333664725591e-04, 4.034015554958188e+00, 2.390872401334335e+04
81, 1.580580500000000e-03, -5.163339100000000e-03, 8.308809716742634e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.650333664725591e-04, 2.902415315438365e+00, 1.459471004541858e+04
82, 3.553963100000000e-03, -7.729531100000000e-03, 7.032752633001513e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.650333664725591e-04, 2.097642133991592e+00, 8.224563372506320e+03
83, 6.312329000000000e-03, -1.027594930000000e-02, 5.734165851975245e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.650333664725591e-04, 1.679957928930094e+00, 4.475982527943620e+03
84, 9.851316600000000e-03, -1.279558500000000e-02, 4.412849911916604e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.650333664725591e-04, 1.510021639554260e+00, 2.576360566595366e+03
85, 1.416533000000000e-02, -1.528152440000000e-02, 3.067676861151624e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.650333664725591e-04, 1.432059357010896e+00, 1.703568376819165e+03
86, 1.924754780000000e-02, -1.772697280000000e-02, 1.696394306242446e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.650333664725591e-04, 1.336480788236965e+00, 1.253348349416274e+03
87, 2.508993410000000e-02, -2.012527760000000e-02, 2.955173383009109e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 8.650333664725591e-04, 1.126229675766509e+00, 8.831901421369129e+02
88, 3.168325090000000e-02, -2.246995120000000e-02, -1.139740937130735e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 4.872876832840070e-01, 2.974223621920893e+02
89, 3.901707260000000e-02, -2.475469350000000e-02, -5.090106161408459e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 1.631568574516503e+00, 5.415612562043483e+02
90, 4.707980320000000e-02, -2.697341310000000e-02, 2.234423656302044e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 1.972671114150755e+00, 7.129426360502799e+02
91, 5.585869360000000e-02, -2.912024850000000e-02, 4.631828276541156e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.229127956635825e+00, 9.209442075453740e+02
92, 6.533986280000000e-02, -3.118958770000000e-02, 8.223360287192363e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.324309053449432e+00, 1.085034919882464e+03
