"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega"
138, 1.239595793000000e-01, 7.236675130000000e-02, 5.286052325372173e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999387414551e+05
139, 1.182341812000000e-01, 7.050170610000001e-02, 5.477258676017844e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999627388004e+05
140, 1.126263756000000e-01, 6.862213670000000e-02, 5.667016490759496e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999998345792223e+05
141, 1.071378898000000e-01, 6.673077170000000e-02, 5.855767065194296e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001396769216e+05
142, 1.017704144000000e-01, 6.483023120000000e-02, 6.043993263024537e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000025190251e+05
143, 9.652560270000000e-02, 6.292302070000000e-02, 6.232221035107564e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999998861298905e+05
144, 9.140507019999999e-02, 6.101152410000000e-02, 6.421032266924452e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999451791905e+05
145, 8.641039420000000e-02, 5.909799820000000e-02, 6.611057205075573e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000999206754e+05
146, 8.154311309999999e-02, 5.718456760000000e-02, 6.802984265130692e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999380831046e+05
147, 7.680472620000001e-02, 5.527322140000000e-02, 6.997565958614066e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000652215819e+05
148, 7.219669290000000e-02, 5.336580890000000e-02, 7.195629252711777e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999835487769e+05
149, 6.772043279999999e-02, 5.146403790000000e-02, 7.398076046469662e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000516628444e+05
150, 6.337732450000000e-02, 4.956947250000000e-02, 7.605873955380373e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000199880830e+05
151, 5.916870580000000e-02, 4.768353200000000e-02, 7.820053622717178e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001209225491e+05
152, 5.509587320000000e-02, 4.580749070000000e-02, 8.041721722265679e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999075101244e+05
153, 5.116008100000000e-02, 4.394247820000000e-02, 8.272080260142741e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000031939732e+05
154, 4.736254170000000e-02, 4.208948010000000e-02, 8.512415218474823e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000770126517e+05
155, 4.370442490000000e-02, 4.024933970000000e-02, 8.764069210883300e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999593515787e+05
156, 4.018685740000000e-02, 3.842276020000000e-02, 9.028424187941952e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001249941098e+05
157, 3.681092280000000e-02, 3.661030700000000e-02, 9.306853995496990e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999575820294e+05
158, 3.357766090000000e-02, 3.481241120000000e-02, 9.600654988393185e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000673266449e+05
159, 3.048806760000000e-02, 3.302937270000000e-02, 9.910933470133275e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999325578345e+05
