"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          74,     -0.4770535686,     -0.5011478896,     -0.5092181483,      -6.282335544,      -2.271831944,     -0.5521090113,       2.445002119,               0.5,      0.6152272466,      0.4896943148,                 0,                 0,                 0,      0.1149563386,      0.5795692373,      0.5314175252,                 0,       0.795956807
          75,     -0.4777706921,     -0.4954104661,     -0.5079749298,      -6.282348914,      -2.273956307,     -0.5533189245,       2.450634255,               0.5,      0.6278676653,      0.4999809842,                 0,                 0,                 0,      0.1171174582,      0.5914613028,      0.5425608878,                 0,       0.796315867
          76,     -0.4784942733,     -0.4897090356,     -0.5068679042,      -6.282375792,      -2.276102644,     -0.5544980256,       2.457463514,               0.5,      0.6406515932,      0.5103812099,                 0,                 0,                 0,      0.1192912661,      0.6034886067,      0.5538275407,                 0,      0.7966595499
          77,      -0.479224767,     -0.4840439802,     -0.5058965638,       -6.28241616,      -2.278270975,     -0.5556424262,        2.47666275,               0.5,      0.6535792898,      0.5208949384,                 0,                 0,                 0,      0.1214774427,      0.6156514115,      0.5652174488,                 0,      0.7969881337
          78,     -0.4799626396,     -0.4784150938,     -0.5050583944,      -6.282469954,      -2.280461202,     -0.5567499072,       2.482233127,               0.5,      0.6666509601,      0.5315220889,                 0,                 0,                 0,       0.123675661,      0.6279499274,      0.5767305457,                 0,      0.7973019177
          79,     -0.4807084531,     -0.4728232685,     -0.5043520109,      -6.282537118,      -2.282673138,     -0.5578310526,       2.489314507,               0.5,      0.6798667522,      0.5422625117,                 0,                 0,                 0,      0.1258855727,      0.6403843125,      0.5883666923,                 0,      0.7976011622
          80,     -0.4814626057,     -0.4672683677,     -0.5037776949,      -6.282617478,      -2.284906348,      -0.558878977,       2.500826674,               0.5,      0.6932267605,      0.5531160257,                 0,                 0,                 0,      0.1281068264,      0.6529546737,      0.6001257148,                 0,      0.7978861423
          81,     -0.4822254558,     -0.4617510158,     -0.5033363919,      -6.282710805,      -2.287160219,     -0.5598980685,       2.510188629,               0.5,      0.7067310294,      0.5640824228,                 0,                 0,                 0,        0.13033908,      0.6656610697,      0.6120074084,                 0,       0.798157148
          82,     -0.4829973389,     -0.4562737556,     -0.5030307648,      -6.282816942,      -2.289434213,     -0.5608808896,       2.523894559,               0.5,      0.7203795485,      0.5751614464,                 0,                 0,                 0,      0.1325819941,      0.6785035081,      0.6240115165,                 0,      0.7984144575
          83,     -0.4837786919,     -0.4508331576,     -0.5028567135,      -6.282935638,       -2.29172765,     -0.5618331092,       2.536304285,               0.5,      0.7341722435,        0.58635283,                 0,                 0,                 0,      0.1348352115,      0.6914819334,      0.6361377683,                 0,       0.798658401
          84,     -0.4845700042,     -0.4454301609,     -0.5028161748,      -6.283066676,      -2.294039794,      -0.562752831,       2.551706534,               0.5,      0.7481089876,      0.5976562663,                 0,                 0,                 0,      0.1370983709,      0.7045962405,       0.648385848,                 0,      0.7988893011
          85,     -0.4853717417,     -0.4400653849,     -0.5029093434,      -6.283209862,      -2.296369904,     -0.5636438996,       2.569463188,               0.5,      0.7621895899,       0.609071387,                 0,                 0,                 0,      0.1393711028,      0.7178462646,      0.6607553751,                 0,      0.7991074597
          86,     -0.4861842211,     -0.4347382734,     -0.5031317654,      -6.283363536,      -2.298712698,       -0.56450316,       2.588444533,               0.5,      0.7764138043,      0.6205977677,                 0,                 0,                 0,      0.1416530359,      0.7312317899,      0.6732459091,                 0,      0.7993131552
          87,     -0.4870078536,     -0.4294486028,     -0.5034852127,      -6.283509057,       -2.30101444,     -0.5653309115,       2.616196007,               0.5,      0.7907813047,      0.6322349646,                 0,                 0,                 0,      0.1439438014,       0.744752522,      0.6858569846,                 0,      0.7995067168
          88,     -0.4878437778,     -0.4241957201,     -0.5039703351,      -6.283627427,      -2.303219087,     -0.5661299165,       2.646936395,               0.5,      0.8052916687,      0.6439825309,                 0,                 0,                 0,      0.1462430302,      0.7584080707,      0.6985881261,                 0,       0.799688555
          89,     -0.4886942207,      -0.418982947,     -0.5045939856,      -6.283759118,      -2.305442868,     -0.5668967412,       2.648390131,               0.5,      0.8199444119,      0.6558399717,                 0,                 0,                 0,      0.1485503556,      0.7721979874,      0.7114388064,                 0,      0.7998590663
          90,     -0.4895599186,     -0.4138108085,     -0.5053574744,      -6.283904628,      -2.307687213,     -0.5676313025,        2.65442258,               0.5,      0.8347389863,      0.6678067494,                 0,                 0,                 0,      0.1508654039,      0.7861217628,       0.724408451,                 0,       0.800018641
          91,     -0.4904408703,      -0.408679216,     -0.5062606691,      -6.284063935,      -2.309951957,     -0.5683372352,       2.660270508,               0.5,       0.849674786,       0.679882261,                 0,                 0,                 0,      0.1531877853,      0.8001788346,      0.7374964159,                 0,      0.8001676314
          92,     -0.4913366886,     -0.4035878569,     -0.5073036222,      -6.284236664,       -2.31223569,     -0.5690102398,       2.662170184,               0.5,      0.8647511539,      0.6920658837,                 0,                 0,                 0,      0.1555171064,      0.8143685907,      0.7507020341,                 0,       0.800306401
          93,     -0.4922475677,     -0.3985354298,      -0.508485094,      -6.284422272,      -2.314536459,      -0.569658116,       2.662730793,               0.5,      0.8799673577,      0.7043568886,                 0,                 0,                 0,      0.1578529404,      0.8286903515,      0.7640245274,                 0,      0.8004352462
          94,     -0.4931731171,     -0.3935226116,      -0.509808698,      -6.284619986,      -2.316851667,     -0.5702713476,       2.660257069,               0.5,      0.8953226058,      0.7167545483,                 0,                 0,                 0,      0.1601948909,       0.843143378,      0.7774631149,                 0,      0.8005545081
          95,     -0.4941134506,     -0.3885492246,     -0.5112756129,       -6.28482914,      -2.319178821,      -0.570858056,       2.653238184,               0.5,      0.9108160508,        0.72925809,                 0,                 0,                 0,      0.1625425566,      0.8577268788,      0.7910169667,                 0,      0.8006645133
          96,     -0.4950686949,     -0.3836153344,     -0.5128877542,      -6.285049104,      -2.321515456,       -0.57141068,       2.641777474,               0.5,       0.926446786,      0.7418667175,                 0,                 0,                 0,      0.1648955411,       0.872440005,      0.8046852252,                 0,      0.8007656012
          97,     -0.4960392546,     -0.3787209541,     -0.5146480721,      -6.285279381,       -2.32385934,     -0.5719382007,       2.626500765,               0.5,      0.9422138292,      0.7545795589,                 0,                 0,                 0,       0.167253431,      0.8872818375,       0.818466952,                 0,      0.8008580807
          98,     -0.4970253668,     -0.3738657005,     -0.5165575183,      -6.285515878,      -2.326196316,     -0.5724313292,       2.608843152,               0.5,      0.9581161238,      0.7673956903,                 0,                 0,                 0,      0.1696158052,      0.9022513869,      0.8323611518,                 0,      0.8009422566
          99,     -0.4980275266,     -0.3690489281,     -0.5186158473,      -6.285753476,      -2.328508123,     -0.5728968927,       2.588156016,               0.5,      0.9741525353,      0.7803141666,                 0,                 0,                 0,      0.1719822471,      0.9173475872,      0.8463668029,                 0,       0.801018463
