"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
31, 9.278033071000000e-01, 8.809476700000001e-03, -2.048235312176969e+00, 8.267792907597431e-254, 5.781403689567928e-255, 1.000000000000000e-10, 1.000000000000000e-04, 7.724959341403813e-01, 9.184902317594557e+02
32, 9.231952738000000e-01, 9.388093900000000e-03, -2.031485029892728e+00, 3.521352326706288e-254, 2.462369287839886e-255, 1.000000000000000e-10, 1.000000000000000e-04, 7.724786118482589e-01, 9.182158329934930e+02
33, 9.184568869000000e-01, 9.996983100000001e-03, -1.979186780823385e+00, -1.093052499392480e-255, -7.643367248679065e-257, 1.000000000000000e-10, 1.000000000000000e-04, 8.586157446884312e-01, 9.750805052291496e+02
34, 9.135896058000000e-01, 1.063705300000000e-02, -1.984753043559117e+00, 3.144971920028508e-255, 2.199178482728109e-256, 1.000000000000000e-10, 1.000000000000000e-04, 7.802973213230630e-01, 9.302608518669371e+02
35, 9.085949298000000e-01, 1.130920080000000e-02, -1.966315819291804e+00, 1.201413020959524e-255, 8.401097789577779e-257, 1.000000000000000e-10, 1.000000000000000e-04, 7.802849363966288e-01, 9.299253341942998e+02
36, 9.034743973000000e-01, 1.201430830000000e-02, -1.913214260851075e+00, -3.177185953634394e-257, -2.221704728223905e-258, 1.000000000000000e-10, 1.000000000000000e-04, 8.630722066000932e-01, 9.813051445699540e+02
37, 8.982295856000000e-01, 1.275323610000000e-02, -1.915246165257825e+00, 7.956346705280211e-257, 5.563619301001056e-258, 1.000000000000000e-10, 1.000000000000000e-04, 7.886071350466636e-01, 9.424461635992899e+02
38, 8.928621101999999e-01, 1.352681940000000e-02, -1.895195887832265e+00, 2.709338246224386e-257, 1.894553759155653e-258, 1.000000000000000e-10, 1.000000000000000e-04, 7.886023022719738e-01, 9.420283727807706e+02
39, 8.873736244000000e-01, 1.433586160000000e-02, -1.841452335800868e+00, -6.076188266067289e-259, -4.248884515197529e-260, 1.000000000000000e-10, 1.000000000000000e-04, 8.679203361373543e-01, 9.882419231112505e+02
40, 8.817658188000000e-01, 1.518112940000000e-02, -1.839925633278825e+00, 1.302989023851353e-258, 9.111386356857628e-260, 1.000000000000000e-10, 1.000000000000000e-04, 7.973956106823346e-01, 9.548616509823336e+02
41, 8.760404207000000e-01, 1.606334700000000e-02, -1.818311697399435e+00, 3.920693186796230e-259, 2.741615605172965e-260, 1.000000000000000e-10, 1.000000000000000e-04, 7.973997573115352e-01, 9.543547246008715e+02
42, 8.701991937000000e-01, 1.698318960000000e-02, -1.764097897769368e+00, -7.408817716908350e-261, -5.180749755416578e-262, 1.000000000000000e-10, 1.000000000000000e-04, 8.731410029049228e-01, 9.956329698180311e+02
